RUNNING BOARD,,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
24,,,Merrion Square,,17:00,,,,,,,,,
,,,Constitution Hill (Stop #1619),17:40,,,,,,,,,,
,Duty,428,Take Bus 6 18:45 Broadstone,,,,,,,,,,,
,,,Broadstone (Stop #190),,17:40,,,,,,,,,
,Duty ,422,Takes up 17:40 Broadstone,,,,,,,,,,,
,,,,,,,,,,,,,,
24,,,Dublin Airport,,18:50,,,,,,,,,
,,,,,,,,,,,,,,
24,,,Merrion Square,,20:20,,,,,,,,,
,,,Constitution Hill (Stop #1619),20:50,,,,,,,,,,
,Finish,Duty,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Duty ,439,Takes up 20:50 Constitution Hill,,,,,,,,,,,
,,,Constitution Hill (Stop #1619),,20:50,,,,,,,,,
24,,,Dublin Airport,,21:50,,,,,,,,,
,,,,,,,,,,,,,,
23,,,Merrion Square,,23:15,,,,,,,,,
,,,Charlestown SC,00:15,,,,,,,,,,
,,,Phibsboro Garage,00:45,,,,,,,,,,
,Finish,Duty,,,,,,,,,,,,
RUNNING BOARD,,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,,
Routes 23/24,,,Phibsboro (007),Monday to Friday,,,,,BUS 12,23.08.26,,,,
,,,,,,,,,,,,,,
Route,,,Place,Arr,Dep,Route,,,Place,Arr,Dep,,,
,,,,,,,,,,,,,,
,Duty,412,Reports at 05:28,,,,,,,,,,,
SPL,,,Departs Garage,,05:35,,Duty,423,Takes up at 16:55 Constitution Hill,,,,,
24,,,Merrion Square,,06:00,,,,Constitution Hill (Stop #1619),,16:50,,,
,,,,,,23,,,Charlestown SC,,17:40,,,
24,,,Dublin Airport,,07:30,,,,,,,,,
,,,Broadstone (Stop #190),08:40,,23,,,Merrion Square,,18:50,,,
,Duty,412,Takes Bus 20 at 09:42 at Phibsboro Garage,,,,,,,,,,,
,,,,,,23,,,Charlestown SC,,20:00,,,
,Duty,454,Takes up at 08:40 Broadstone,,,,,,,,,,,
,,,Broadstone (Stop #190),,08:40,23,,,Merrion Square,,21:10,,,
23,,,Merrion Square,,09:10,,,,Constitution Hill (Stop #1619),21:35,,,,
,,,,,,,Finish,Duty,,,,,,
23,,,Charlestown SC,,10:20,,,,,,,,,
