RUNNING BOARD,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,
23,,,Merrion Square,,08:45,,,,Broadstone (Stop #190),,18:45
,,,,,,23,,,Merrion Square,,19:15
23,,,Charlestown SC,,09:50,,,,,,
,,,,,,23,,,Charlestown SC,,20:30
24,,,Merrion Square,,11:00,,,,,,
,,,Constitution Hill (Stop #1619),11:30,,24,,,Merrion Square,,21:30
,Duty,413,Takes Bus 10 at 12:50 at Broadstone,,,,,,Constitution Hill (Stop #1619),22:00,
,,,,,,,Finish,Duty,,,
,Duty,412,Takes up at 11:30 Constitution Hill,,,,,,,,
,,,Constitution Hill (Stop #1619),,11:30,,Duty,474,Takes up at 22:00 Constitution Hill,,
24,,,Dublin Airport,,12:40,,,,Constitution Hill (Stop #1619),,22:00
,,,,,,24,,,Dublin Airport,,23:05
23,,,Merrion Square,,14:10,,,,,,
,,,,,,SPL,,,Merrion Square,00:20,
23,,,Charlestown SC,,15:30,,,,Phibsboro Garage,00:40,
,,,Broadstone (Stop #190),16:10,,,Duty,474,Takes Bus 11 at 03:27 at Phibsboro Garage,,
,Finish,Duty,,,,,,,,,
,,,,,,,,,,,
,Duty,456,Takes up at 16:10 Broadstone,,,,,,,,
,,,Broadstone (Stop #190),,16:10,,,,,,
23,,,Merrion Square,,16:50,,,,,,
,,,,,,,,,,,
23,,,Charlestown SC,,18:10,,,,,,
,,,Broadstone (Stop #190),18:45,,,,,,,
,Finish,Duty,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
RUNNING BOARD,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,
Routes 23/24,,,Phibsboro (007),Saturday,,,,,BUS 13,19.10.2025,
,,,,,,,,,,,
Route,,,Place,Arr,Dep,Route,,,Place,Arr,Dep
,,,,,,,,,,,
,Duty,451,Reports at 08:32,,,,Duty,426,Reports at 19:52,,
SPL,,,Departs Garage,,08:40,SPL,,,Departs Garage,,19:55
23,,,Charlestown SC,,09:10,23,,,Merrion Square,,20:15
,,,,,,,,,,,
24,,,Merrion Square,,10:20,23,,,Charlestown SC,,21:30
,,,,,,,,,,,
24,,,Dublin Airport,,12:00,24,,,Merrion Square,,22:30
,,,Broadstone (Stop #190),13:00,,,,,,,
,Duty,451,Takes Bus 1 at 15:52 at Phibsboro Garage,,,SPL,,,Dublin Airport,23:50,
,,,,,,,,,Phibsboro Garage,00:20,
,Duty,421,Takes up at 13:00 Broadstone,,,,Finish,Duty,,,
,,,Broadstone (Stop #190),,13:00,,,,,,
23,,,Merrion Square,,13:30,,,,,,
,,,,,,,,,,,
23,,,Charlestown SC,,14:50,,,,,,
,,,,,,,,,,,
24,,,Merrion Square,,16:00,,,,,,
,,,Constitution Hill (Stop #1619),16:35,,,,,,,
,Duty,421,Takes Bus 11 at 18:15 at Broadstone,,,,,,,,
,,,,,,,,,,,
,Duty,457,Takes up at 16:35 Constitution Hill,,,,,,,,
,,,Constitution Hill (Stop #1619),,16:35,,,,,,
24,,,Dublin Airport,,17:40,,,,,,
,,,,,,,,,,,
SPL,,,Merrion Square,19:05,,,,,,,
,,,Phibsboro Garage,19:25,,,,,,,
,Finish,Duty,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
RUNNING BOARD,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,
Routes 23/24,,,Phibsboro (007),Saturday,,,,,BUS 14,19.10.2025,
,,,,,,,,,,,
